industry_div,accident_kind,accident_summary,causal_object,high_risk_situation,causal_factor,countermeasure,content,gong_jong,jak_up_myung,mid_industry,accident_type_mapped
건설업,,2016년 1월경 문화집회시설 신축공사에서 재해자가 작업 준비작업을 하던 중 후진하면서 자재 운반중인 굴착기에 치여 사망,굴착기,1. 토공사,시야가 미확보된 상태에서 후진하던 차량계 건설기계에 주변 근로자가 깔림,"▶ 차량계 건설기계 작업계획서를 사전에 작성하고 관리감독자를 배치하여 작업계획서에 맞게 작업
▶ 굴삭기 이용 작업 시 후방경고시스템 설치를 권고하여 사고를 예방함
▶ 차량계 건설기계 접촉을 방지하기 위해 근로자 출입금지 및 신호수(유도자)를 배치함","2016년 1월경 문화집회시설 신축공사에서 재해자가 작업 준비작업을 하던 중 후진하면서 자재 운반중인 굴착기에 치여 사망 [유발요인] 시야가 미확보된 상태에서 후진하던 차량계 건설기계에 주변 근로자가 깔림 [대책] ▶ 차량계 건설기계 작업계획서를 사전에 작성하고 관리감독자를 배치하여 작업계획서에 맞게 작업
▶ 굴삭기 이용 작업 시 후방경고시스템 설치를 권고하여 사고를 예방함
▶ 차량계 건설기계 접촉을 방지하기 위해 근로자 출입금지 및 신호수(유도자)를 배치함",1. 토공사,1.2 흙막이 지보공 작업,,
건설업,,2016년 10월경 배수관 정비공사 현장에서 재해자가 흙막이 가시설 설치 작업 중 굴착기로 인양하던 H형강이 이탈되면서 머리를 가격당해 사망,굴착기,1. 토공사,해지장치가 불량한 체인블록 후크에서 자재가 이탈하여 근로자에게 낙하,"▶ 중량물 인양시 작업순서 및 방법, 사용장비, 인양물 탈락방지 및 근로자 출입금지 관련 작업계획서 작성
▶ 중량물 취급 작업 시 근로자 출입 통제 및 유도자 배치","2016년 10월경 배수관 정비공사 현장에서 재해자가 흙막이 가시설 설치 작업 중 굴착기로 인양하던 H형강이 이탈되면서 머리를 가격당해 사망 [유발요인] 해지장치가 불량한 체인블록 후크에서 자재가 이탈하여 근로자에게 낙하 [대책] ▶ 중량물 인양시 작업순서 및 방법, 사용장비, 인양물 탈락방지 및 근로자 출입금지 관련 작업계획서 작성
▶ 중량물 취급 작업 시 근로자 출입 통제 및 유도자 배치",1. 토공사,1.2 흙막이 지보공 작업,,
건설업,,"2020년 7월경 업무시설 신축공사 현장에서 재해자가 흙막이 가시설 두 번째 단의 우각부 스트러트 밀림방지 부재 설치 작업 중 작업구간 상부에서 설치 중이던 띠장(H-440×300, L≒17m, W≒2.1t)이 하부로 떨어지면서(H≒40cm) 두부를 강타하여 사망",흙막이가시설,1. 토공사,낙하물 위험구간에서 작업중이던 근로자가 상부에서 설치중이던 띠장이 낙하하여 맞음,"▶ 중량물 낙하 위험이 있는 곳에 출입금지 구역 설정 및 출입인원 통제
▶ 낙하물 위험구간 상하 동시 작업 제한 ","2020년 7월경 업무시설 신축공사 현장에서 재해자가 흙막이 가시설 두 번째 단의 우각부 스트러트 밀림방지 부재 설치 작업 중 작업구간 상부에서 설치 중이던 띠장(H-440×300, L≒17m, W≒2.1t)이 하부로 떨어지면서(H≒40cm) 두부를 강타하여 사망 [유발요인] 낙하물 위험구간에서 작업중이던 근로자가 상부에서 설치중이던 띠장이 낙하하여 맞음 [대책] ▶ 중량물 낙하 위험이 있는 곳에 출입금지 구역 설정 및 출입인원 통제
▶ 낙하물 위험구간 상하 동시 작업 제한 ",1. 토공사,1.2 흙막이 지보공 작업,,
건설업,,2019년 8월 OO(주)에서 시공 중인 철도 노반신설공사 현장에서 천공기의 스크류를 해체하여 권상장치(와이어로프)에 매달아 지면에 내려놓던 중 매달려 있던 스크류가 수평으로 회전하며 주변에 서 있던 재해자의 복부 강타하여 사망,천공기/항타기,1. 토공사,천공기의 스크류를 해체하여 권상장치(와이어로프)에 매달아 지면에 내려놓던 중 바닥에 닿은 부분을 중심으로 체인에 매달려있던 스크류의 상부가 회전하며 주변에 서 있던 재해자의 복부 강타,"▶ 중량물의 탈락 및 낙하 방지 예방을 위해 근로자 접근 통제 및 작업지휘자 배치
▶  작업 전 기계의 이상유무를 점검하고 유해, 위험 방지조치 실시","2019년 8월 OO(주)에서 시공 중인 철도 노반신설공사 현장에서 천공기의 스크류를 해체하여 권상장치(와이어로프)에 매달아 지면에 내려놓던 중 매달려 있던 스크류가 수평으로 회전하며 주변에 서 있던 재해자의 복부 강타하여 사망 [유발요인] 천공기의 스크류를 해체하여 권상장치(와이어로프)에 매달아 지면에 내려놓던 중 바닥에 닿은 부분을 중심으로 체인에 매달려있던 스크류의 상부가 회전하며 주변에 서 있던 재해자의 복부 강타 [대책] ▶ 중량물의 탈락 및 낙하 방지 예방을 위해 근로자 접근 통제 및 작업지휘자 배치
▶  작업 전 기계의 이상유무를 점검하고 유해, 위험 방지조치 실시",1. 토공사,1.3 기초파일 작업,,
건설업,,"2016년 8월경 OO에서 시공중인 OO아파트 신축공사 현장에서 재해자(파일공)가 PHC파일(D=600) 이음을 위해 천공한 가설홀(700, 깊이 GL-14m)에 인접한 상태에서, 가설홀 굴착후 케이싱(18m)을 인발하던 중  케이싱 주변 토사가 함몰되면서(직경≒2.3m～2.6m, 깊이≒1.5m), 케이싱 인근에 있던 재해자가 함께 매몰되어 사망",토사,1. 토공사,PHC 파일 이음을 위해 천공한 가설홀에 인접한 상태에서 가설홀 굴착후 케이싱을 인발하던 중 케이싱 주변 토사가 함몰되면서 인근 근로자 매몰,"▶ 사전 근로자의 매몰 위험을 방지하기 위해 지반의 상태, 공벽 붕괴 위험, 근로자의 출입 상태 점검 후 작업 수행
▶ 파일 이음을 위한 가설홀 천공작업 시 지반의 붕괴에 위험이 있는 경우 케이싱을 인발하는 과정이 없는 방법으로 진행하여 지반의 함몰 방지","2016년 8월경 OO에서 시공중인 OO아파트 신축공사 현장에서 재해자(파일공)가 PHC파일(D=600) 이음을 위해 천공한 가설홀(700, 깊이 GL-14m)에 인접한 상태에서, 가설홀 굴착후 케이싱(18m)을 인발하던 중  케이싱 주변 토사가 함몰되면서(직경≒2.3m～2.6m, 깊이≒1.5m), 케이싱 인근에 있던 재해자가 함께 매몰되어 사망 [유발요인] PHC 파일 이음을 위해 천공한 가설홀에 인접한 상태에서 가설홀 굴착후 케이싱을 인발하던 중 케이싱 주변 토사가 함몰되면서 인근 근로자 매몰 [대책] ▶ 사전 근로자의 매몰 위험을 방지하기 위해 지반의 상태, 공벽 붕괴 위험, 근로자의 출입 상태 점검 후 작업 수행
▶ 파일 이음을 위한 가설홀 천공작업 시 지반의 붕괴에 위험이 있는 경우 케이싱을 인발하는 과정이 없는 방법으로 진행하여 지반의 함몰 방지",1. 토공사,1.3 기초파일 작업,,
건설업,,2019년 5월경 ㈜OO 공사현장 재해자(RCD공)은 이동식크레인을 이용하여 오실레이터 구동용 유압호스를 해당 장비 상부에 똬리형태로 감아 정돈하던 중 크레인 붐대에 매달린 권과방지장치의 추 매달기용 와이어로프의 파단으로 추가 지상으로 떨어지면서(약40m) 재해자의 두부를 강타하여 사망(추정),이동식크레인,1. 토공사,이동식크레인을 이용하여 오실레이터 유압호스를 정돈하던 중이동식크레인 붐대에 매달린 권과방지장치의 추 매달기용 와이어로프의 파단으로 추가 지상으로 낙하,"▶ 사용 장비의 정비·정검 수시 실시
▶ 이동식 크레인 양중작업 시 와이어로프의 상태 점검
▶ 중량물의 탈락 및 낙하 방지 예방을 위해 근로자 접근 통제","2019년 5월경 ㈜OO 공사현장 재해자(RCD공)은 이동식크레인을 이용하여 오실레이터 구동용 유압호스를 해당 장비 상부에 똬리형태로 감아 정돈하던 중 크레인 붐대에 매달린 권과방지장치의 추 매달기용 와이어로프의 파단으로 추가 지상으로 떨어지면서(약40m) 재해자의 두부를 강타하여 사망(추정) [유발요인] 이동식크레인을 이용하여 오실레이터 유압호스를 정돈하던 중이동식크레인 붐대에 매달린 권과방지장치의 추 매달기용 와이어로프의 파단으로 추가 지상으로 낙하 [대책] ▶ 사용 장비의 정비·정검 수시 실시
▶ 이동식 크레인 양중작업 시 와이어로프의 상태 점검
▶ 중량물의 탈락 및 낙하 방지 예방을 위해 근로자 접근 통제",1. 토공사,1.3 기초파일 작업,,
건설업,,"2021년 2경 OO(주)에서 시공하는 OO신축공사 현장에서, 협력업체인 OO산업(주)에서 장비 임대차 계약을 맺은 OO건설기계 소속 근로자 OOO이 흙막이 가시설공사(C.I.P공사) 작업 중 항타기에 의해 인발된 케이싱이 재해자의 가슴을 강타하여 사망",천공기/항타기,1. 토공사,항타기를 사용해 CIP 설치용 케이싱 근입작업 중 인발된 케이싱에 채워져 있던 토사와 물이 토출되며 케이싱이 유동하여 재해자의 가슴에 맞음,"▶ 중량물의 탈락 및 낙하 방지 예방을 위해 근로자 접근 통제
▶ 차량계 건설기계 작업계획서를 사전에 작성하고 관리감독자를 배치하여 작업계획서에 맞게 작업","2021년 2경 OO(주)에서 시공하는 OO신축공사 현장에서, 협력업체인 OO산업(주)에서 장비 임대차 계약을 맺은 OO건설기계 소속 근로자 OOO이 흙막이 가시설공사(C.I.P공사) 작업 중 항타기에 의해 인발된 케이싱이 재해자의 가슴을 강타하여 사망 [유발요인] 항타기를 사용해 CIP 설치용 케이싱 근입작업 중 인발된 케이싱에 채워져 있던 토사와 물이 토출되며 케이싱이 유동하여 재해자의 가슴에 맞음 [대책] ▶ 중량물의 탈락 및 낙하 방지 예방을 위해 근로자 접근 통제
▶ 차량계 건설기계 작업계획서를 사전에 작성하고 관리감독자를 배치하여 작업계획서에 맞게 작업",1. 토공사,1.3 기초파일 작업,,
건설업,,"2017년 1월경 (주)OO에서 시공하는 근린생활시설 및 다가구주택 신축공사 현장에서, 재해자가 항타기의 상부오거(Auger)와 스크류 사이에 완충기(항타기의 오거 부속장치)를 장착하기 위해 완충기를 벨트-슬링(Belt-sling)으로 묶어 올려 매단(H≒5.0m) 상태에서, 재해자가 완충기 하부의 케이싱 모터(하부오거)에 올라 작업하던 중, 매달린 완충기가 떨어지며 아래에 있던 재해자를 가격하여 사망",천공기/항타기,1. 토공사,근로자가 항타기의 스크류모터와 스크류 사이에 완충기를 장착하던 중 완충기의 벨트-슬링이 풀리면서 완충기가 떨어져 하부 근로자를 가격함,"▶ 벨트-슬링이 후크레서 이탈되지 않도록 양 끝단이 고리 등 구비된 것 사용하여 1줄 걸이 또는 2줄 걸이 방법 사용
▶ 물체에 맞을 위험이 있는 작업 시 근로자 출입금지 조치 실시","2017년 1월경 (주)OO에서 시공하는 근린생활시설 및 다가구주택 신축공사 현장에서, 재해자가 항타기의 상부오거(Auger)와 스크류 사이에 완충기(항타기의 오거 부속장치)를 장착하기 위해 완충기를 벨트-슬링(Belt-sling)으로 묶어 올려 매단(H≒5.0m) 상태에서, 재해자가 완충기 하부의 케이싱 모터(하부오거)에 올라 작업하던 중, 매달린 완충기가 떨어지며 아래에 있던 재해자를 가격하여 사망 [유발요인] 근로자가 항타기의 스크류모터와 스크류 사이에 완충기를 장착하던 중 완충기의 벨트-슬링이 풀리면서 완충기가 떨어져 하부 근로자를 가격함 [대책] ▶ 벨트-슬링이 후크레서 이탈되지 않도록 양 끝단이 고리 등 구비된 것 사용하여 1줄 걸이 또는 2줄 걸이 방법 사용
▶ 물체에 맞을 위험이 있는 작업 시 근로자 출입금지 조치 실시",1. 토공사,1.3 기초파일 작업,,
건설업,,2018년 9월경 ㈜OO 공동주택 신축공사현장에서 파일공사 협력업체 소속 재해자(항타공)이 항타기 주변에서 대기하던 중 해머를 인양하고 있던 와이어로프(직경 22mm)가 리더의 최상단 위치에서 순간 파단되어 아래로 비래된 와이어로프 파단부가 재해자의 머리를 강타하여 사망,천공기/항타기,1. 토공사,항타작업 후 보조파일을 항타기로 인양 시 체결한 섬유벨트가 파단되어 넘어져 깔림,"▶ 줄걸이 자재는 작업중 수시로 상태를 점검하며 예비를 두어 손상 발생 시 즉시 교체함 
▶ 중량물 취급 시 작업계획서를 사전에 작성하고 관리감독자를 배치하여 작업계획서에 맞게 작업","2018년 9월경 ㈜OO 공동주택 신축공사현장에서 파일공사 협력업체 소속 재해자(항타공)이 항타기 주변에서 대기하던 중 해머를 인양하고 있던 와이어로프(직경 22mm)가 리더의 최상단 위치에서 순간 파단되어 아래로 비래된 와이어로프 파단부가 재해자의 머리를 강타하여 사망 [유발요인] 항타작업 후 보조파일을 항타기로 인양 시 체결한 섬유벨트가 파단되어 넘어져 깔림 [대책] ▶ 줄걸이 자재는 작업중 수시로 상태를 점검하며 예비를 두어 손상 발생 시 즉시 교체함 
▶ 중량물 취급 시 작업계획서를 사전에 작성하고 관리감독자를 배치하여 작업계획서에 맞게 작업",1. 토공사,1.3 기초파일 작업,,
건설업,,2018년 8월경 산업단지 조성공사 현장에서 재해자가 시트파일 인발 보조작업 및 삽을 이용한 개흙(뻘) 제거작업과 흙막이용 띠장설치 보조작업을 하는 중 작업장소에서 약 20m 떨어진 휴식장소로 자력으로 이동하여 휴식 중 갑자기 경련을 일으키는 것을 동료작업자가 발견하고 인근에 있던 가시설팀장이 응급조치 후 응급실로 이송 후 치료 중 사망 (사망진단서 상 사망원인 : 열사병),분류불능,1. 토공사,"시트파일 인발 보조 및 삽을 이용한 뻘 제거, 흙막이용 띠장설치 보조작업을 하는 중 휴식장소로 이동하여 휴식 중 갑작스런 경련",▶ 원인 미상,"2018년 8월경 산업단지 조성공사 현장에서 재해자가 시트파일 인발 보조작업 및 삽을 이용한 개흙(뻘) 제거작업과 흙막이용 띠장설치 보조작업을 하는 중 작업장소에서 약 20m 떨어진 휴식장소로 자력으로 이동하여 휴식 중 갑자기 경련을 일으키는 것을 동료작업자가 발견하고 인근에 있던 가시설팀장이 응급조치 후 응급실로 이송 후 치료 중 사망 (사망진단서 상 사망원인 : 열사병) [유발요인] 시트파일 인발 보조 및 삽을 이용한 뻘 제거, 흙막이용 띠장설치 보조작업을 하는 중 휴식장소로 이동하여 휴식 중 갑작스런 경련 [대책] ▶ 원인 미상",1. 토공사,1.3 기초파일 작업,,
