sif_id	industry_div	accident_kind	accident_summary	causal_object	high_risk_situation	causal_factor	countermeasure	content
1	제조업등	\N	2019년 10월경 OO사업장에서 재해자가 화물용 리프트에 제품을 싣는 작업 중 리프트와 작업장 사이의 개구부로 떨어져 사망	분류 불가	리프트·승강기 관련 작업	『화물용 승강기 또는 리프트(기계식 주차설비 포함)의 운반구(기)에서 작업 또는 이동』하다가 승강로 내부 구조물과 운반구 사이에 끼임 또는 그 사이 개구부로 떨어짐 위험	▶ 개구부에 추락방지용 덮개 설치\n▶ 카(운반구)에 울 추가 설치\n▶ PLC 및 각 층 위치센서를 설치하여 정해진 위치에 운반구가 정지하도록 설치	2019년 10월경 OO사업장에서 재해자가 화물용 리프트에 제품을 싣는 작업 중 리프트와 작업장 사이의 개구부로 떨어져 사망 [유발요인] 『화물용 승강기 또는 리프트(기계식 주차설비 포함)의 운반구(기)에서 작업 또는 이동』하다가 승강로 내부 구조물과 운반구 사이에 끼임 또는 그 사이 개구부로 떨어짐 위험 [대책] ▶ 개구부에 추락방지용 덮개 설치 ▶ 카(운반구)에 울 추가 설치 ▶ PLC 및 각 층 위치센서를 설치하여 정해진 위치에 운반구가 정지하도록 설치
2	제조업등	\N	2017년 11월경 OO사업장 음식물 이송 작업장에서 재해자가 작동중인 컨베이어 점검 중 벨트 사이에 끼여 사망	컨베이어	비정형 작업(점검)	『설비에 안전장치가 설치되어 있지 않거나, 불량하거나, 설치된 안전장치를 해제한 상태』로 사용 중 사고 위험	▶ 컨베이어 벨트와 풀리 사이에 방호울 설치\n▶ 컨베이어 비상정지장치 설치	2017년 11월경 OO사업장 음식물 이송 작업장에서 재해자가 작동중인 컨베이어 점검 중 벨트 사이에 끼여 사망 [유발요인] 『설비에 안전장치가 설치되어 있지 않거나, 불량하거나, 설치된 안전장치를 해제한 상태』로 사용 중 사고 위험 [대책] ▶ 컨베이어 벨트와 풀리 사이에 방호울 설치 ▶ 컨베이어 비상정지장치 설치
3	제조업등	\N	2018년 6월경 OO사업장 혼합 공정에서 재해자가 혼합기 내부에서 점검 작업 중 동료 근로자가 혼합기를 가동하여 혼합기 날에 말려 사망	혼합기	비정형 작업(점검)	『정비·보수·청소·교체·조정·점검 등의 작업 중 작업자 외 다른 사람이 설비를 가동』하여 갑자기 작동된 설비로 인한 사고 위험	▶ 키 전환스위치 설치\n▶ 혼합기 덮개 연동장치 설치\n▶ 비정형(점검·청소·정비) 작업 수행 시 운전 정지 및 전원차단 실시	2018년 6월경 OO사업장 혼합 공정에서 재해자가 혼합기 내부에서 점검 작업 중 동료 근로자가 혼합기를 가동하여 혼합기 날에 말려 사망 [유발요인] 『정비·보수·청소·교체·조정·점검 등의 작업 중 작업자 외 다른 사람이 설비를 가동』하여 갑자기 작동된 설비로 인한 사고 위험 [대책] ▶ 키 전환스위치 설치 ▶ 혼합기 덮개 연동장치 설치 ▶ 비정형(점검·청소·정비) 작업 수행 시 운전 정지 및 전원차단 실시
4	제조업등	\N	2019년 1월경 OO사업장 생산동 지붕에서 재해자가 현장 점검 중 아래로 떨어져 사망	지붕·대들보(슬레이트)	비정형 작업(점검)	『밟고 있던 구조물(또는 자재) 등의 파손·탈락 등』으로 넘어지거나 떨어짐 위험	▶ 조정실 옥상 파라펫을 통해 지붕으로 이동할 수 있는 장소에 방책 등을 설치\n▶ 30센티미터 이상의 발판을 설치하거나 안전방망 또는 안전대를 착용하는 등 위험을 방지하기 위하여 필요한 조치	2019년 1월경 OO사업장 생산동 지붕에서 재해자가 현장 점검 중 아래로 떨어져 사망 [유발요인] 『밟고 있던 구조물(또는 자재) 등의 파손·탈락 등』으로 넘어지거나 떨어짐 위험 [대책] ▶ 조정실 옥상 파라펫을 통해 지붕으로 이동할 수 있는 장소에 방책 등을 설치 ▶ 30센티미터 이상의 발판을 설치하거나 안전방망 또는 안전대를 착용하는 등 위험을 방지하기 위하여 필요한 조치
5	제조업등	\N	2016년 2월경 OO사업장 제품보관장에서 재해자가 적재되어 있는 톤백을 점검 중 적재물이 무너지면서 깔려 사망	중량물(톤백)	상하차 작업 또는 화물(물체)이 적재된 장소 주변에서의 작업	『무게 또는 형태가 한쪽으로 치우치거나 무게중심이 높은(전도되기 쉬운) 물체 또는 적재상태가 불량한 물체 등』이 무너짐·전도·낙하로 인한 사고 위험	▶ 넘어지지 않도록 붙들어 지탱하게 하거나 근로자가 접근하지 못하도록 조치\n▶ 하적단을 로프로 묶거나 망을 치는 등 위험을 방지하기 위한 조치\n▶ 안전대책을 포함한 작업계획서를 작성하고 그 계획에 따라 작업	2016년 2월경 OO사업장 제품보관장에서 재해자가 적재되어 있는 톤백을 점검 중 적재물이 무너지면서 깔려 사망 [유발요인] 『무게 또는 형태가 한쪽으로 치우치거나 무게중심이 높은(전도되기 쉬운) 물체 또는 적재상태가 불량한 물체 등』이 무너짐·전도·낙하로 인한 사고 위험 [대책] ▶ 넘어지지 않도록 붙들어 지탱하게 하거나 근로자가 접근하지 못하도록 조치 ▶ 하적단을 로프로 묶거나 망을 치는 등 위험을 방지하기 위한 조치 ▶ 안전대책을 포함한 작업계획서를 작성하고 그 계획에 따라 작업
6	제조업등	\N	2016년 7월경 OO사업장 야적장에서 재해자가 제품 적재 작업 중 적재된 톤백이 무너지면서 아래에 깔려 사망	중량물(톤백)	상하차 작업 또는 화물(물체)이 적재된 장소 주변에서의 작업	『무게 또는 형태가 한쪽으로 치우치거나 무게중심이 높은(전도되기 쉬운) 물체 또는 적재상태가 불량한 물체 등』이 무너짐·전도·낙하로 인한 사고 위험	▶ 상단부의 붕괴 위험이 줄어드는 방법으로 작업방법 변경\n▶ 중량물 취급 작업계획서 작성 및 준수	2016년 7월경 OO사업장 야적장에서 재해자가 제품 적재 작업 중 적재된 톤백이 무너지면서 아래에 깔려 사망 [유발요인] 『무게 또는 형태가 한쪽으로 치우치거나 무게중심이 높은(전도되기 쉬운) 물체 또는 적재상태가 불량한 물체 등』이 무너짐·전도·낙하로 인한 사고 위험 [대책] ▶ 상단부의 붕괴 위험이 줄어드는 방법으로 작업방법 변경 ▶ 중량물 취급 작업계획서 작성 및 준수
7	제조업등	\N	2017년 8월경 OO사업장 생산동 지붕에서 재해자가 노후된 천막을 교체하는 작업 중 아래로 떨어져 사망	지붕·대들보(천막)	지붕, 천장 등 위에서 작업	『밟고 있던 구조물(또는 자재) 등의 파손·탈락 등』으로 넘어지거나 떨어짐 위험	▶ 폭 30cm이상의 발판을 설치하거나 안전방망을 치는 등 추락방지조치 실시\n▶ 개인보호구(안전모, 안전대 등) 지급 및 착용	2017년 8월경 OO사업장 생산동 지붕에서 재해자가 노후된 천막을 교체하는 작업 중 아래로 떨어져 사망 [유발요인] 『밟고 있던 구조물(또는 자재) 등의 파손·탈락 등』으로 넘어지거나 떨어짐 위험 [대책] ▶ 폭 30cm이상의 발판을 설치하거나 안전방망을 치는 등 추락방지조치 실시 ▶ 개인보호구(안전모, 안전대 등) 지급 및 착용
8	제조업등	\N	2018년 4월경 OO사업장 생산동 지붕에서 재해자가 지붕교체 작업 중 아래로 떨어져 사망	분류 불가	지붕, 천장 등 위에서 작업	『밟고 있던 구조물(또는 자재) 등의 파손·탈락 등』으로 넘어지거나 떨어짐 위험	▶ 지붕 보수 교체 등의 작업 시 작업발판 설치\n▶ 개인보호구(안전모, 안전대 등) 지급 및 착용\n▶ 고소작업대를 활용하는 등 작업방법 개선	2018년 4월경 OO사업장 생산동 지붕에서 재해자가 지붕교체 작업 중 아래로 떨어져 사망 [유발요인] 『밟고 있던 구조물(또는 자재) 등의 파손·탈락 등』으로 넘어지거나 떨어짐 위험 [대책] ▶ 지붕 보수 교체 등의 작업 시 작업발판 설치 ▶ 개인보호구(안전모, 안전대 등) 지급 및 착용 ▶ 고소작업대를 활용하는 등 작업방법 개선
9	제조업등	\N	2020년 3월경 OO사업장 화학제품 제조공정에서 재해자가 황산이 잔류한 배관에 질소를 주입하여 작업 중 황산이 주위로 비산하여 화상을 입음	화학물질(황산)	위험물질 취급 또는 그 장소에서 작업	『취급하는 물질이 배관·호스·용기 등에서 누출』로 인한 화학물질 접촉·질식 또는 화재·폭발 위험	▶ 안전운전절차서의 상세한 작성 및 작업방법 숙지\n▶ 작업 위험성평가를 통한 안전운전절차서의 개선	2020년 3월경 OO사업장 화학제품 제조공정에서 재해자가 황산이 잔류한 배관에 질소를 주입하여 작업 중 황산이 주위로 비산하여 화상을 입음 [유발요인] 『취급하는 물질이 배관·호스·용기 등에서 누출』로 인한 화학물질 접촉·질식 또는 화재·폭발 위험 [대책] ▶ 안전운전절차서의 상세한 작성 및 작업방법 숙지 ▶ 작업 위험성평가를 통한 안전운전절차서의 개선
10	제조업등	\N	2017년 3월경 OO사업장 창고에서 재해자가 이동 중 후진하던 페이로더에 깔려 사망	건설기계(로더)	작업장소 통행·이동	『차량(하역운반기계 또는 건설기계 포함)작업구역에서 출입통제 미실시』로 근로자(차량포함)가 작업차량 또는 운반하는 화물에 부딪히거나 깔림 또는 주변 구조물과 그 사이에 끼임 위험	▶ 유자격자 운전 철저 관리\n▶ 근로자 출입금지 조치  및 유도자 배치\n▶ 차량계건설기계 작업계획서 작성 및 준수	2017년 3월경 OO사업장 창고에서 재해자가 이동 중 후진하던 페이로더에 깔려 사망 [유발요인] 『차량(하역운반기계 또는 건설기계 포함)작업구역에서 출입통제 미실시』로 근로자(차량포함)가 작업차량 또는 운반하는 화물에 부딪히거나 깔림 또는 주변 구조물과 그 사이에 끼임 위험 [대책] ▶ 유자격자 운전 철저 관리 ▶ 근로자 출입금지 조치 및 유도자 배치 ▶ 차량계건설기계 작업계획서 작성 및 준수
