업종,작업,발생형태,질문,가중치,law_ref
건설업,굴착 작업,무너짐,굴착작업 시 굴착면의 기울기가 지반 특성에 따른 안전 기준을 준수하고 있는가?,7,"1956,1958,1340"
건설업,굴착 작업,무너짐,굴착저면에서 작업하는 근로자에 대해 상시 감시 및 신호수를 배치하여 붕괴 위험에 대응할 수 있도록 하였는가?,7,"1999,1969,1347"
건설업,굴착 작업,무너짐,"굴착작업 전에 해당 지반의 지형, 지질, 지층상태 및 함수 유무에 대한 사전조사를 실시하였는가?",6,"1955,1338"
건설업,굴착 작업,무너짐,붕괴 위험이 있는 굴착구간에 작업 전 흙막이 지보공을 설치하였는가?,6,"1969,1352,1340"
건설업,굴착 작업,무너짐,"굴착저면에서 작업하는 근로자를 위해 붕괴된 토사로부터 보호할 수 있는 안전조치(덮개, 방호울, 안전망 등)를 설치하였는가?",6,"1487,1969,1340"
건설업,굴착 작업,깔림.뒤집힘,"차량계 건설기계(굴착기, 덤프트럭 등) 작업 시 전담 신호수 또는 유도자를 배치하고 있는가?",6,"1964,1962,1731"
건설업,굴착 작업,깔림.뒤집힘,작업장 내 근로자 출입 통제 구역을 명확히 설정하고 차량계 건설기계 작업 반경 내 근로자 출입을 통제하고 있는가?,6,"1964,1731,1962"
건설업,굴착 작업,깔림.뒤집힘,"차량계 건설기계의 후방카메라, 후사경, 후방감지장치 등 방호장치가 정상 작동하는지 정기적으로 점검하고 있는가?",5,"1575,1045"
건설업,굴착 작업,깔림.뒤집힘,"차량계 건설기계 이동 시 작업경로, 작업방법, 신호방법 등에 대한 사전 계획을 수립하고 있는가?",3,"1733,1476,1697"
건설업,굴착 작업,깔림.뒤집힘,유도자(신호수)를 차량에 부딪칠 위험이 없는 안전한 위치에 배치하고 있는가?,3,"1964,1731,1962"
건설업,굴착 작업,빠짐익사,"물이 있는 작업장에서 근로자가 작업할 때, 물에 빠질 경우를 대비하여 구명조끼, 구명줄, 구조용 장비 등을 준비했는가?",6,2037
건설업,굴착 작업,빠짐익사,"물이 있는 작업장(하천, 호수, 바다 등)에서 건설기계나 차량을 운행할 때, 사전에 수심, 지형, 지반 상태를 점검하고 작업경로를 계획했는가?",3,1955
건설업,굴착 작업,빠짐익사,"굴착기나 덤프트럭 등 건설기계가 물 근처에서 작업할 때, 세굴, 침하, 붕괴 위험을 방지하기 위해 유도자를 배치했는가?",3,"1962,2005"
