industry_div,accident_kind,accident_summary,causal_object,high_risk_situation,causal_factor,countermeasure,content,gong_jong,jak_up_myung,mid_industry,accident_type_mapped
제조업,,2016년 2월경 OO사업장 지하 창고에서 재해자가 작업재료를 찾던 중 지상 1층에 정지해 있던 리프트 운반구가 떨어지면서 재해자를 덮쳐 사망,리프트(일반작업용),비정형 작업(이물질 제거·청소),『매달아 올리거나 적재 상태가 불량한 물체』가 떨어지거나 무너지면서 맞거나 깔림,"▶ 주변의 중량물로 인한 깔림 방지를 위해 중량물 제거 후 작업
▶ 중량물 지지대 설치 후 수리·교체작업 실시","2016년 2월경 OO사업장 지하 창고에서 재해자가 작업재료를 찾던 중 지상 1층에 정지해 있던 리프트 운반구가 떨어지면서 재해자를 덮쳐 사망 [유발요인] 『매달아 올리거나 적재 상태가 불량한 물체』가 떨어지거나 무너지면서 맞거나 깔림 [대책] ▶ 주변의 중량물로 인한 깔림 방지를 위해 중량물 제거 후 작업
▶ 중량물 지지대 설치 후 수리·교체작업 실시",,,목재및종이제품제조업,
제조업,,2016년 4월경 OO사업장에서 재해자가 화물자동차(21톤)의 부속품(측면판 상·하강용 실린더) 교체작업 중 측면판이 넘어지면서 머리를 가격해 사망,적재물(정비중인 구조물/측면판),비정형 작업(정비·보수),"『들어올린 설비의 고정상태 불량, 안전블록·지지대 미설치』로 설비 하부에서 작업 중 갑자기 설비가 내려앉아 끼이거나 깔림","▶ 중량물 이동방지용 지지대 추가 설치
▶ 갑작스런 이동방지를 위한 중량물 위치 변경
▶ 낙하물에 대비한 방망 또는 울 설치후 작업","2016년 4월경 OO사업장에서 재해자가 화물자동차(21톤)의 부속품(측면판 상·하강용 실린더) 교체작업 중 측면판이 넘어지면서 머리를 가격해 사망 [유발요인] 『들어올린 설비의 고정상태 불량, 안전블록·지지대 미설치』로 설비 하부에서 작업 중 갑자기 설비가 내려앉아 끼이거나 깔림 [대책] ▶ 중량물 이동방지용 지지대 추가 설치
▶ 갑작스런 이동방지를 위한 중량물 위치 변경
▶ 낙하물에 대비한 방망 또는 울 설치후 작업",,,기계기구·금속·비금속광물제품제조업,
운수창고통신업,,2016년 3월경 OO사업장에서 재해자가 지게차 하역작업을 인력으로 보조하던 중 적재함의 화물이 재해자쪽으로 떨어지며 덮쳐 사망,지게차,상하차 작업 또는 적재된 화물,『화물의 무게가 한쪽으로 치우쳐진 상태 등』 적재상태가 불량한 화물이 무너지면서 맞거나 깔림,"▶ 전도·낙하 방지를 위해 중량물 제거 후 작업
▶ 중량물 고정 실시 후 수리작업 실시","2016년 3월경 OO사업장에서 재해자가 지게차 하역작업을 인력으로 보조하던 중 적재함의 화물이 재해자쪽으로 떨어지며 덮쳐 사망 [유발요인] 『화물의 무게가 한쪽으로 치우쳐진 상태 등』 적재상태가 불량한 화물이 무너지면서 맞거나 깔림 [대책] ▶ 전도·낙하 방지를 위해 중량물 제거 후 작업
▶ 중량물 고정 실시 후 수리작업 실시",,,철도·항공·창고·운수관련서비스업,
제조업,,2016년 4월경 OO사업장에서 재해자가 CNC선반을 이용해 환봉 가공작업 중 환봉이 휘어져 회전하면서 재해자의 머리를 가격하여 사망,금속가공기계(CNC선반),가공 설비를 이용한 작업,『고속회전하면서 갑자기 휘어진 가공물』 에 머리를 맞음,"▶ 회전체에 방호덮개 설치 또는 근로자 접근금지용 울타리 설치
▶ 방호장치 기능유지 및 해당 설비 운전 정지 조치
▶ 말릴 위험이 없는 작업모 및 작업복 착용","2016년 4월경 OO사업장에서 재해자가 CNC선반을 이용해 환봉 가공작업 중 환봉이 휘어져 회전하면서 재해자의 머리를 가격하여 사망 [유발요인] 『고속회전하면서 갑자기 휘어진 가공물』 에 머리를 맞음 [대책] ▶ 회전체에 방호덮개 설치 또는 근로자 접근금지용 울타리 설치
▶ 방호장치 기능유지 및 해당 설비 운전 정지 조치
▶ 말릴 위험이 없는 작업모 및 작업복 착용",,,기계기구·금속·비금속광물제품제조업,
제조업,,2016년 2월경 제관반 작업장에서 재해자가 산업용 송풍기 성능시험에 입회하여 시험 중 송풍기의 흡입구 주변으로 지나가던 중 송풍기의 흡입구로 빨려들어가 사망(추정),기타 설비(송풍기),비정형 작업(시운전),"『주변 설비의 움직임을 인지하지 못하거나, 안전거리를 확보하지 않고 작업』 하여 작동하는 설비에 부딪히거나, 말림·끼임","▶ 같은 장소에서 이루어지는 도급인과 수급인의 작업 혼재 시 재해 발생 예방을 위한 의사 전달 체계 수립
▶ 안전작업허가제도로 작업 전·중·후 안전확보 상태 지속 확인","2016년 2월경 제관반 작업장에서 재해자가 산업용 송풍기 성능시험에 입회하여 시험 중 송풍기의 흡입구 주변으로 지나가던 중 송풍기의 흡입구로 빨려들어가 사망(추정) [유발요인] 『주변 설비의 움직임을 인지하지 못하거나, 안전거리를 확보하지 않고 작업』 하여 작동하는 설비에 부딪히거나, 말림·끼임 [대책] ▶ 같은 장소에서 이루어지는 도급인과 수급인의 작업 혼재 시 재해 발생 예방을 위한 의사 전달 체계 수립
▶ 안전작업허가제도로 작업 전·중·후 안전확보 상태 지속 확인",,,기계기구·금속·비금속광물제품제조업,
제조업,,2016년 8월 재활용공장에서 재해자가 스티로폼 분쇄기에 폐스티로폼을 투입하는 작업을 하던 중 회전하는 분쇄기 칼날에 왼손이 말림,분쇄·파쇄기,원료 투입 작업,"『별도의 수공구 없이 설비의 구동부에 근접하여 작업』하다가 구동부에 끼이거나 말림, 절단","▶ 광전자, 양수조작식 등 방호장치 설치 및 기능유지 철저
▶ 재료투입용 보조기구 및 사용상태 철저 관리","2016년 8월 재활용공장에서 재해자가 스티로폼 분쇄기에 폐스티로폼을 투입하는 작업을 하던 중 회전하는 분쇄기 칼날에 왼손이 말림 [유발요인] 『별도의 수공구 없이 설비의 구동부에 근접하여 작업』하다가 구동부에 끼이거나 말림, 절단 [대책] ▶ 광전자, 양수조작식 등 방호장치 설치 및 기능유지 철저
▶ 재료투입용 보조기구 및 사용상태 철저 관리",,,수제품및기타제품제조업,
제조업,,2016년 1월경 작업장에서 재해자가 이동식 컨베이어를 옮기던 중 컨베이어가 넘어지면서 안면부에 부딪힌 후 쓰러져 사망,컨베이어,인력 운반 작업,무거운 물체를 운반하던 중 『바닥의 요철부』에 걸려 넘어지면서 떨어지거나 바닥에 머리가 부딪힘,"▶ 작업구간 바닥상태 평탄화 조치
▶ 폭 넓은 운반용구로 구입·변경 조치
▶ 이동통로 상 바닥에 이물질 등 제거 조치","2016년 1월경 작업장에서 재해자가 이동식 컨베이어를 옮기던 중 컨베이어가 넘어지면서 안면부에 부딪힌 후 쓰러져 사망 [유발요인] 무거운 물체를 운반하던 중 『바닥의 요철부』에 걸려 넘어지면서 떨어지거나 바닥에 머리가 부딪힘 [대책] ▶ 작업구간 바닥상태 평탄화 조치
▶ 폭 넓은 운반용구로 구입·변경 조치
▶ 이동통로 상 바닥에 이물질 등 제거 조치",,,기계기구·금속·비금속광물제품제조업,
임업,,2016년 7월경 OO산 벌목현장에서 재해자가 조재작업 중 조재목이 튀어올라 얼굴을 강타해 사망,나무(조재목),벌목·조재 작업,"『주변 구조물에 걸려있던 나무(벌도목, 조재목 등)』 가 작업상황에 의해 무게중심이 변하면서 떨어지거나 지렛대처럼 튀어올라 얼굴을 맞음","▶ 벌목 작업 전 주변 나무에 걸려있는 나무를 확인하여 주변에서 작업 금지
▶ 충분한 안전거리를 확보하여, 다른 작업자와 동시에 작업 금지","2016년 7월경 OO산 벌목현장에서 재해자가 조재작업 중 조재목이 튀어올라 얼굴을 강타해 사망 [유발요인] 『주변 구조물에 걸려있던 나무(벌도목, 조재목 등)』 가 작업상황에 의해 무게중심이 변하면서 떨어지거나 지렛대처럼 튀어올라 얼굴을 맞음 [대책] ▶ 벌목 작업 전 주변 나무에 걸려있는 나무를 확인하여 주변에서 작업 금지
▶ 충분한 안전거리를 확보하여, 다른 작업자와 동시에 작업 금지",,,임업,
전기가스증기수도사업,,2021년 3월경 OO사업장 연료 하역장에서 재해자가 작업용 차량(워킹카)의 화물적재함 후미에서 시료 채취 작업을 하던 중 화물적재함의 덮개가 닫히면서 재해자가 끼인 상태로 차량이 이동해 사망,화물운반트럭(워킹카),차량을 이용한 작업,"『차량운행 중 차량의 진행방향 및 사각지대를 확인하지 않아』근로자가 작업차량에 깔리거나, 주변 구조물과 작업차량 사이에 끼임","▶ 지게차 이용 중량물 취급에 대한 작업계획서 작성(작업방법, 운행경로, 근로자와 지게차 혼재 작업 여부 등)
▶ 혼재 작업 시 작업지휘자 또는 유도자 배치","2021년 3월경 OO사업장 연료 하역장에서 재해자가 작업용 차량(워킹카)의 화물적재함 후미에서 시료 채취 작업을 하던 중 화물적재함의 덮개가 닫히면서 재해자가 끼인 상태로 차량이 이동해 사망 [유발요인] 『차량운행 중 차량의 진행방향 및 사각지대를 확인하지 않아』근로자가 작업차량에 깔리거나, 주변 구조물과 작업차량 사이에 끼임 [대책] ▶ 지게차 이용 중량물 취급에 대한 작업계획서 작성(작업방법, 운행경로, 근로자와 지게차 혼재 작업 여부 등)
▶ 혼재 작업 시 작업지휘자 또는 유도자 배치",,,전기가스증기수도사업,
제조업,,2016년 1월경 천장크레인 레일확장을 위해 재해자가 고소작업대에 탑승 후 작업대를 상승시킨 상태에서 경사진 바닥면을 따라 이동하던 중 고소작업대가 전도되어 작업대와 같이 떨어지면서 사망,고소작업대(시저형/렌탈),고소작업대 사용 작업,『작업대를 상승시킨 상태에서 이동하거나 작업중 변하는 무게중심』에 의해 고소작업대가 넘어지면서 작업자가 떨어짐,"▶ 고소작업대 작업발판 주변 안전난간 수리
▶ 작업발판 외부로 신체 이탈작업 금지","2016년 1월경 천장크레인 레일확장을 위해 재해자가 고소작업대에 탑승 후 작업대를 상승시킨 상태에서 경사진 바닥면을 따라 이동하던 중 고소작업대가 전도되어 작업대와 같이 떨어지면서 사망 [유발요인] 『작업대를 상승시킨 상태에서 이동하거나 작업중 변하는 무게중심』에 의해 고소작업대가 넘어지면서 작업자가 떨어짐 [대책] ▶ 고소작업대 작업발판 주변 안전난간 수리
▶ 작업발판 외부로 신체 이탈작업 금지",,,기계기구·금속·비금속광물제품제조업,
